radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,Snapshot_Date,Status
LTE,268,6,48310,1111575,-1,-8.8462,39.8067,2255,29,1,1711287684,1758753183,0,2026-01-20,ACTIVE
LTE,268,6,48310,1105429,-1,-8.8707,39.7709,2577,50,1,1711287764,1758753183,0,2026-01-20,ACTIVE
LTE,268,6,48310,1117965,-1,-8.8792,39.7445,518,50,1,1711287904,1746998249,0,2026-01-20,ACTIVE
LTE,268,6,48310,1118998,-1,-8.886,39.7396,1187,43,1,1711287914,1758753241,0,2026-01-20,ACTIVE
LTE,268,6,48310,1105420,-1,-8.8865,39.7365,1000,11,1,1711287934,1746998249,0,2026-01-20,ACTIVE
LTE,268,6,48310,1107213,-1,-8.8889,39.7332,1000,9,1,1711287944,1746998249,0,2026-01-20,ACTIVE
LTE,268,6,48310,1097739,-1,-8.8942,39.73,2048,31,1,1711287964,1758753241,0,2026-01-20,ACTIVE
LTE,268,6,48310,1097771,-1,-8.9127,39.722,1074,28,1,1711288014,1758753241,0,2026-01-20,ACTIVE
LTE,268,6,48310,1097740,-1,-8.9199,39.7069,1284,31,1,1711288034,1746998249,0,2026-01-20,ACTIVE
LTE,268,6,48310,1107223,-1,-8.8782,39.7377,1776,17,1,1711292042,1758753241,0,2026-01-20,ACTIVE
LTE,268,6,48310,1691179,-1,-8.8598,39.7381,1297,33,1,1711292082,1746998249,0,2026-01-20,ACTIVE
LTE,268,6,48310,1101611,-1,-8.809,39.7224,1004,28,1,1711292312,1746998250,0,2026-01-20,ACTIVE
LTE,268,6,48310,340265,-1,-8.8023,39.7227,630,25,1,1711292332,1746998250,0,2026-01-20,ACTIVE
LTE,268,6,48310,1101609,-1,-8.7856,39.727,1212,37,1,1711292372,1746998250,0,2026-01-20,ACTIVE
LTE,268,6,48310,1095210,-1,-8.7718,39.7351,500,26,1,1711292432,1746998250,0,2026-01-20,ACTIVE
LTE,268,6,48310,1104140,-1,-8.7243,39.7301,2832,49,1,1711292662,1751217796,0,2026-01-20,ACTIVE
LTE,268,6,48310,1118743,-1,-8.7152,39.7213,1711,50,1,1711292692,1748200952,0,2026-01-20,ACTIVE
LTE,268,6,48310,1118742,-1,-8.6989,39.6999,1964,24,1,1711292762,1751217796,0,2026-01-20,ACTIVE
LTE,268,6,48310,832553,-1,-8.6969,39.6482,1314,28,1,1711292972,1751217795,0,2026-01-20,ACTIVE
LTE,268,6,48310,832524,-1,-8.6987,39.635,1000,12,1,1711293012,1751217795,0,2026-01-20,ACTIVE
LTE,268,6,48310,832554,-1,-8.6985,39.6367,1395,50,1,1711293022,1751217795,0,2026-01-20,ACTIVE
LTE,268,6,48310,841515,-1,-8.6894,39.6196,1390,30,1,1711293062,1751217795,0,2026-01-20,ACTIVE
LTE,268,6,48310,1106455,-1,-8.6589,39.5821,1392,30,1,1711293192,1748200891,0,2026-01-20,ACTIVE
LTE,268,6,48310,1110294,-1,-8.6713,39.5085,1095,50,1,1711293482,1748200954,0,2026-01-20,ACTIVE
LTE,268,6,48740,1489961,-1,-8.6947,39.8835,1246,26,1,1711546887,1751217798,0,2026-01-20,ACTIVE
LTE,268,6,48740,2007082,-1,-8.7184,39.843,1280,50,1,1711547041,1751217797,0,2026-01-20,ACTIVE
LTE,268,6,48740,1991691,-1,-8.7197,39.8309,1000,12,1,1711547092,1751217797,0,2026-01-20,ACTIVE
LTE,268,6,48310,1113099,-1,-8.7225,39.8105,1000,14,1,1711547170,1751217797,0,2026-01-20,ACTIVE
LTE,268,6,48310,1113109,-1,-8.7298,39.7973,1481,50,1,1711547182,1751217797,0,2026-01-20,ACTIVE
LTE,268,6,48310,1113111,-1,-8.739,39.7818,1582,28,1,1711547259,1751217797,0,2026-01-20,ACTIVE
LTE,268,6,48310,1104139,-1,-8.7454,39.7532,1978,28,1,1711547337,1751217796,0,2026-01-20,ACTIVE
LTE,268,6,48310,832523,-1,-8.6964,39.6515,1057,25,1,1711547801,1751217795,0,2026-01-20,ACTIVE
GSM,268,3,6300,8303,-1,-8.7222,39.8124,1000,18,1,1712666396,1740599941,0,2026-01-20,ACTIVE
LTE,268,6,48310,396566,-1,-8.8289,39.7287,695,32,1,1713070875,1746998250,0,2026-01-20,ACTIVE
LTE,268,6,48310,1117995,-1,-8.8771,39.7442,710,26,1,1713071125,1758753183,0,2026-01-20,ACTIVE
LTE,268,6,48310,1105450,-1,-8.8689,39.7765,903,42,1,1713093096,1758753183,0,2026-01-20,ACTIVE
LTE,268,6,48310,1117994,-1,-8.8692,39.7423,1010,27,1,1713093296,1746998249,0,2026-01-20,ACTIVE
LTE,268,3,167,76982453,-1,-8.6789,39.5166,1520,18,1,1716628246,1741398545,0,2026-01-20,ACTIVE
LTE,268,3,167,87345333,-1,-8.6651,39.5357,1348,35,1,1716628306,1741398545,0,2026-01-20,ACTIVE
LTE,268,3,167,87342735,-1,-8.6598,39.5469,1233,23,1,1716628396,1741398545,0,2026-01-20,ACTIVE
GSM,268,6,8740,22509,-1,-8.7141,39.8504,1961,72,1,1716630298,1726578366,0,2026-01-20,ACTIVE
LTE,268,3,168,87632014,-1,-8.6435,39.5049,9672,9,1,1718544369,1741398545,0,2026-01-20,ACTIVE
LTE,268,6,48740,1991721,-1,-8.72,39.8325,720,30,1,1719761746,1751217797,0,2026-01-20,ACTIVE
LTE,268,6,48310,889109,-1,-8.7473,39.7579,1408,29,1,1719761926,1748200952,0,2026-01-20,ACTIVE
LTE,268,6,48310,1101589,-1,-8.7748,39.7285,4134,37,1,1719762046,1746998250,0,2026-01-20,ACTIVE
LTE,268,6,48310,1118741,-1,-8.6966,39.6975,1286,50,1,1719762186,1751217796,0,2026-01-20,ACTIVE
LTE,268,1,43,128389683,-1,-8.6926,39.8871,1349,43,1,1722688359,1756055525,0,2026-01-20,ACTIVE
LTE,268,1,43,128389684,-1,-8.7036,39.8704,2424,41,1,1722688409,1756055525,0,2026-01-20,ACTIVE
LTE,268,1,43,128497193,-1,-8.7442,39.769,1111,48,1,1722688699,1751217797,0,2026-01-20,ACTIVE
LTE,268,1,43,128497194,-1,-8.7463,39.7511,1581,50,1,1722688729,1751217796,0,2026-01-20,ACTIVE
GSM,268,3,5510,63933,-1,-8.6752,39.523,1000,2,1,1722771256,1726584795,0,2026-01-20,ACTIVE
GSM,268,3,6510,18293,-1,-8.6591,39.5822,1000,1,1,1726584467,1726584467,0,2026-01-20,ACTIVE
GSM,268,1,709,21625,-1,-8.9847,39.6242,1437,8,1,1727003801,1727023742,0,2026-01-20,ACTIVE
GSM,268,1,709,21619,-1,-8.9647,39.65,3911,7,1,1727003977,1727023861,0,2026-01-20,ACTIVE
GSM,268,1,709,21508,-1,-8.9614,39.6538,1139,3,1,1727003968,1727023861,0,2026-01-20,ACTIVE
GSM,268,1,709,21523,-1,-8.9351,39.6856,1315,2,1,1727004033,1727023981,0,2026-01-20,ACTIVE
GSM,268,1,709,21504,-1,-8.9426,39.6769,3001,8,1,1727004091,1727023981,0,2026-01-20,ACTIVE
GSM,268,1,43,48506,-1,-8.8189,39.8739,1309,2,1,1727004748,1727024645,0,2026-01-20,ACTIVE
GSM,268,1,43,48504,-1,-8.8058,39.9,4319,11,1,1727004928,1727024822,0,2026-01-20,ACTIVE
GSM,268,1,709,21161,-1,-8.6837,39.6771,1000,1,1,1729534482,1729534482,0,2026-01-20,ACTIVE
GSM,268,1,43,42201,-1,-8.7302,39.736,1000,1,1,1729534782,1729534782,0,2026-01-20,ACTIVE
GSM,268,1,43,41427,-1,-8.7291,39.7976,1000,2,1,1729535083,1733101321,0,2026-01-20,ACTIVE
GSM,268,1,43,40608,-1,-8.7082,39.8591,1000,2,1,1729535383,1733101621,0,2026-01-20,ACTIVE
LTE,268,1,709,87340044,-1,-8.652,39.5682,923,40,1,1729155560,1755467892,0,2026-01-20,ACTIVE
LTE,268,1,709,87340043,-1,-8.6544,39.5772,1000,12,1,1729155600,1755467892,0,2026-01-20,ACTIVE
LTE,268,1,709,87340045,-1,-8.6599,39.5838,1785,50,1,1729155610,1755467892,0,2026-01-20,ACTIVE
LTE,268,1,708,87616525,-1,-8.6615,39.5857,1000,6,1,1729155630,1731103523,0,2026-01-20,ACTIVE
LTE,268,1,709,87337484,-1,-8.671,39.6001,2550,39,1,1729155680,1731103541,0,2026-01-20,ACTIVE
LTE,268,1,709,87337485,-1,-8.6886,39.6187,1691,50,1,1729155730,1731103541,0,2026-01-20,ACTIVE
LTE,268,1,43,128497213,-1,-8.7416,39.7765,1000,16,1,1729156340,1731103525,0,2026-01-20,ACTIVE
LTE,268,1,43,128543273,-1,-8.7225,39.8102,1000,13,1,1729156476,1731103539,0,2026-01-20,ACTIVE
LTE,268,1,43,128438284,-1,-8.7204,39.8191,1000,8,1,1729156497,1731103525,0,2026-01-20,ACTIVE
LTE,268,1,43,128438325,-1,-8.7191,39.8293,1013,22,1,1729156521,1756055525,0,2026-01-20,ACTIVE
LTE,268,1,43,128410124,-1,-8.6907,39.8876,1000,6,1,1730862851,1731103539,0,2026-01-20,ACTIVE
LTE,268,1,43,128448553,-1,-8.7223,39.816,1000,6,1,1730863111,1731103539,0,2026-01-20,ACTIVE
LTE,268,1,709,87311885,-1,-8.6863,39.6843,1000,11,1,1730863631,1731103540,0,2026-01-20,ACTIVE
LTE,268,1,709,77013005,-1,-8.684,39.6798,1000,7,1,1730863651,1731103540,0,2026-01-20,ACTIVE
LTE,268,1,709,77013004,-1,-8.6864,39.6707,1000,12,1,1730863671,1731103540,0,2026-01-20,ACTIVE
LTE,268,1,709,87345164,-1,-8.6771,39.5207,1172,18,1,1730864241,1741398545,0,2026-01-20,ACTIVE
LTE,268,1,709,87352844,-1,-8.6767,39.5124,1000,11,1,1730864281,1731103542,0,2026-01-20,ACTIVE
